level_value_id,level_id,level_value_mnemonic,parent_level_value_id
550e8400-e29b-41d4-a716-446655442001,550e8400-e29b-41d4-a716-446655442000,mkutani,550e8400-e29b-41d4-a716-446655441001
550e8400-e29b-41d4-a716-446655442002,550e8400-e29b-41d4-a716-446655442000,pembe,550e8400-e29b-41d4-a716-446655441001
550e8400-e29b-41d4-a716-446655442003,550e8400-e29b-41d4-a716-446655442000,nyani,550e8400-e29b-41d4-a716-446655441001
550e8400-e29b-41d4-a716-446655442004,550e8400-e29b-41d4-a716-446655442000,karamu,550e8400-e29b-41d4-a716-446655441001
550e8400-e29b-41d4-a716-446655442005,550e8400-e29b-41d4-a716-446655442000,mfumo,550e8400-e29b-41d4-a716-446655441002
550e8400-e29b-41d4-a716-446655442006,550e8400-e29b-41d4-a716-446655442000,njia,550e8400-e29b-41d4-a716-446655441002
550e8400-e29b-41d4-a716-446655442007,550e8400-e29b-41d4-a716-446655442000,rafiki,550e8400-e29b-41d4-a716-446655441002
550e8400-e29b-41d4-a716-446655442008,550e8400-e29b-41d4-a716-446655442000,makali,550e8400-e29b-41d4-a716-446655441002
550e8400-e29b-41d4-a716-446655442009,550e8400-e29b-41d4-a716-446655442000,simba,550e8400-e29b-41d4-a716-446655441003
550e8400-e29b-41d4-a716-446655442010,550e8400-e29b-41d4-a716-446655442000,ndoto,550e8400-e29b-41d4-a716-446655441003
550e8400-e29b-41d4-a716-446655442011,550e8400-e29b-41d4-a716-446655442000,baraka,550e8400-e29b-41d4-a716-446655441003
550e8400-e29b-41d4-a716-446655442012,550e8400-e29b-41d4-a716-446655442000,mapema,550e8400-e29b-41d4-a716-446655441003
550e8400-e29b-41d4-a716-446655442013,550e8400-e29b-41d4-a716-446655442000,asilani,550e8400-e29b-41d4-a716-446655441004
550e8400-e29b-41d4-a716-446655442014,550e8400-e29b-41d4-a716-446655442000,sihaya,550e8400-e29b-41d4-a716-446655441004
550e8400-e29b-41d4-a716-446655442015,550e8400-e29b-41d4-a716-446655442000,zawadi,550e8400-e29b-41d4-a716-446655441004
550e8400-e29b-41d4-a716-446655442016,550e8400-e29b-41d4-a716-446655442000,tunza,550e8400-e29b-41d4-a716-446655441004
