level_value_id,level_id,level_value_mnemonic,parent_level_value_id
550e8400-e29b-41d4-a716-446655884001,550e8400-e29b-41d4-a716-446655444000,amani,550e8400-e29b-41d4-a716-446655883001
550e8400-e29b-41d4-a716-446655884002,550e8400-e29b-41d4-a716-446655444000,asha,550e8400-e29b-41d4-a716-446655883001
550e8400-e29b-41d4-a716-446655884003,550e8400-e29b-41d4-a716-446655444000,asaante,550e8400-e29b-41d4-a716-446655883001
550e8400-e29b-41d4-a716-446655884004,550e8400-e29b-41d4-a716-446655444000,athari,550e8400-e29b-41d4-a716-446655883001
550e8400-e29b-41d4-a716-446655884005,550e8400-e29b-41d4-a716-446655444000,baadhi,550e8400-e29b-41d4-a716-446655883002
550e8400-e29b-41d4-a716-446655884006,550e8400-e29b-41d4-a716-446655444000,balozi,550e8400-e29b-41d4-a716-446655883002
550e8400-e29b-41d4-a716-446655884007,550e8400-e29b-41d4-a716-446655444000,bambi,550e8400-e29b-41d4-a716-446655883002
550e8400-e29b-41d4-a716-446655884008,550e8400-e29b-41d4-a716-446655444000,bandari,550e8400-e29b-41d4-a716-446655883002
550e8400-e29b-41d4-a716-446655884009,550e8400-e29b-41d4-a716-446655444000,bano,550e8400-e29b-41d4-a716-446655883003
550e8400-e29b-41d4-a716-446655884010,550e8400-e29b-41d4-a716-446655444000,baraka,550e8400-e29b-41d4-a716-446655883003
550e8400-e29b-41d4-a716-446655884011,550e8400-e29b-41d4-a716-446655444000,baridi,550e8400-e29b-41d4-a716-446655883003
550e8400-e29b-41d4-a716-446655884012,550e8400-e29b-41d4-a716-446655444000,basi,550e8400-e29b-41d4-a716-446655883003
550e8400-e29b-41d4-a716-446655884013,550e8400-e29b-41d4-a716-446655444000,bauli,550e8400-e29b-41d4-a716-446655883004
550e8400-e29b-41d4-a716-446655884014,550e8400-e29b-41d4-a716-446655444000,bedui,550e8400-e29b-41d4-a716-446655883004
550e8400-e29b-41d4-a716-446655884015,550e8400-e29b-41d4-a716-446655444000,bendera,550e8400-e29b-41d4-a716-446655883004
550e8400-e29b-41d4-a716-446655884016,550e8400-e29b-41d4-a716-446655444000,beni,550e8400-e29b-41d4-a716-446655883004
550e8400-e29b-41d4-a716-446655884017,550e8400-e29b-41d4-a716-446655444000,bere,550e8400-e29b-41d4-a716-446655883005
550e8400-e29b-41d4-a716-446655884018,550e8400-e29b-41d4-a716-446655444000,berio,550e8400-e29b-41d4-a716-446655883005
550e8400-e29b-41d4-a716-446655884019,550e8400-e29b-41d4-a716-446655444000,bertu,550e8400-e29b-41d4-a716-446655883005
550e8400-e29b-41d4-a716-446655884020,550e8400-e29b-41d4-a716-446655444000,beso,550e8400-e29b-41d4-a716-446655883005
550e8400-e29b-41d4-a716-446655884021,550e8400-e29b-41d4-a716-446655444000,bevu,550e8400-e29b-41d4-a716-446655883006
550e8400-e29b-41d4-a716-446655884022,550e8400-e29b-41d4-a716-446655444000,bibi,550e8400-e29b-41d4-a716-446655883006
550e8400-e29b-41d4-a716-446655884023,550e8400-e29b-41d4-a716-446655444000,bicha,550e8400-e29b-41d4-a716-446655883006
550e8400-e29b-41d4-a716-446655884024,550e8400-e29b-41d4-a716-446655444000,bichi,550e8400-e29b-41d4-a716-446655883006
550e8400-e29b-41d4-a716-446655884025,550e8400-e29b-41d4-a716-446655444000,bidi,550e8400-e29b-41d4-a716-446655883007
550e8400-e29b-41d4-a716-446655884026,550e8400-e29b-41d4-a716-446655444000,bieke,550e8400-e29b-41d4-a716-446655883007
550e8400-e29b-41d4-a716-446655884027,550e8400-e29b-41d4-a716-446655444000,bielu,550e8400-e29b-41d4-a716-446655883007
550e8400-e29b-41d4-a716-446655884028,550e8400-e29b-41d4-a716-446655444000,bievu,550e8400-e29b-41d4-a716-446655883007
550e8400-e29b-41d4-a716-446655884029,550e8400-e29b-41d4-a716-446655444000,bigeu,550e8400-e29b-41d4-a716-446655883008
550e8400-e29b-41d4-a716-446655884030,550e8400-e29b-41d4-a716-446655444000,bigi,550e8400-e29b-41d4-a716-446655883008
550e8400-e29b-41d4-a716-446655884031,550e8400-e29b-41d4-a716-446655444000,bigny,550e8400-e29b-41d4-a716-446655883008
550e8400-e29b-41d4-a716-446655884032,550e8400-e29b-41d4-a716-446655444000,bileh,550e8400-e29b-41d4-a716-446655883008
550e8400-e29b-41d4-a716-446655884033,550e8400-e29b-41d4-a716-446655444000,bilema,550e8400-e29b-41d4-a716-446655883009
550e8400-e29b-41d4-a716-446655884034,550e8400-e29b-41d4-a716-446655444000,bileya,550e8400-e29b-41d4-a716-446655883009
550e8400-e29b-41d4-a716-446655884035,550e8400-e29b-41d4-a716-446655444000,bileza,550e8400-e29b-41d4-a716-446655883009
550e8400-e29b-41d4-a716-446655884036,550e8400-e29b-41d4-a716-446655444000,bilicho,550e8400-e29b-41d4-a716-446655883009
550e8400-e29b-41d4-a716-446655884037,550e8400-e29b-41d4-a716-446655444000,biliha,550e8400-e29b-41d4-a716-446655883010
550e8400-e29b-41d4-a716-446655884038,550e8400-e29b-41d4-a716-446655444000,biliki,550e8400-e29b-41d4-a716-446655883010
550e8400-e29b-41d4-a716-446655884039,550e8400-e29b-41d4-a716-446655444000,bilili,550e8400-e29b-41d4-a716-446655883010
550e8400-e29b-41d4-a716-446655884040,550e8400-e29b-41d4-a716-446655444000,bililo,550e8400-e29b-41d4-a716-446655883010
550e8400-e29b-41d4-a716-446655884041,550e8400-e29b-41d4-a716-446655444000,bilina,550e8400-e29b-41d4-a716-446655883011
550e8400-e29b-41d4-a716-446655884042,550e8400-e29b-41d4-a716-446655444000,bilini,550e8400-e29b-41d4-a716-446655883011
550e8400-e29b-41d4-a716-446655884043,550e8400-e29b-41d4-a716-446655444000,bilino,550e8400-e29b-41d4-a716-446655883011
